Name,Artwork Title,Year,Duration,Skip Cycles,Category,Description,Credits
Adelle Yingxi Lin,Passage,2026,0:05:06,,Video,"Passage is an experimental single-channel film weaving site-based performance with digital renderings of a hybrid landscape. A 160-foot multilingual calligraphic scroll moves through desert, cemetery, and virtual terrain, becoming a vessel for memory, migration, and the afterlives of place.","Artist, Performance, Editing, Sound, Hybrid World: Adelle Yingxi Lin
Cinematography, Jordan: Jonah Lincoln Best
Cinematography, Singapore: Chen Jie Xiao
Special Thanks: One of Many Studio; Sunrise Camp Wadi Rum"
Ker Chen,Hunting (Pray/Prey),2023,0:10:02,,Video,"Hunting is a 10-minute experience that explores themes of self-identity, desire, and spirituality through the metaphor of hunting (Pray/Prey). Growing up in a multi-religious family in southwest China, the work draws from personal experiences of cultural expectation, guilt, and the search for individual identity. Weaving elements of traditional myths, it creates a narrative that reflects the complex interplay between desire, group identity, and self-discovery. ","Director & Programmer: Ker Chen 
Choreography & Mocap Dancer: Cameron Surh 
Mocap Actor: Cass Yao
Sound Designer: Sylvia Ke"
Kordae Jatafa Henry ,Animalation III,2026,0:04:04,,Video,"Animalation III is an expanded cinema performance work by Kordae Jatafa Henry that merges movement, sound, CGI, and projection into a ritualized cinematic environment. Emerging from the world of IF NOT NOW, the piece draws from Black movement practices and speculative mythologies to explore transformation, memory, and collective attunement through light, rhythm, and gesture.","Director: Kordae Jatafa Henry     
Music: Jamire Williams
Cinematography: Htat Htut
Production Design: Rosie Turnbull
Executive Producer: Sarah Greco
Producers: Sophia Rothbart, Juan Sebastian Jaimes
Performance: Brixx, Bonesthemachine"
Jiabao Li,Futile Efforts,2025,0:11:08,,Video,"Amid the sublime Arctic landscape, I carried out a series of absurd interventions: freezing melted glacier water and giving it back to the glacier, polishing an iceberg with a lens cleaner, sweeping a snowy mountain, cleaning sea ice with a window wiper, and draining the ocean with a coffee cup. These futile efforts pose a sharp question to contemporary geoengineering while revealing the fragile yet stubborn condition of human existence in the face of vast planetary change.",Director: Jiabao Li
Alejandro Moreno Jashés,Act I: The Benefits of Lime,2026,0:30:42,3,Video,"Salón de Actos, Act I: The Benefits of Lime presents the abandoned Windsor Theatre in Chile’s Atacama Desert through three layers: the real, the digital, and the 3D-scanned. Through fables and narrated stories, the theatre becomes a living archive where memory, ruin, technology, and desert mythology converge.",Director: Alejandro Moreno Jashés
Gabe Barcia-Colombo,Explorers,2026,0:06:25,,Three Channel Video,"Explorers features a silent crowd of people pausing to witness something captivating yet unnamed. While some stand in contemplative thought, others snap photos of an awe-inspiring subject intentionally left off screen. Are they sharing in something sublime, confounding, or disturbing? Is the role of Explorers to guide us, to influence us, or to reflect on the barometers of social connection so often mitigated by our mobile devices and tech distractions?","Director: Gabe Barcia-Colombo
Originally Commissioned by The Exploratorium"
Eirini Linardaki,Wahoo Blast ,2025-26,0:09:15,,Three Channel Video,"Wahoo Blast is an in-progress experimental moving-image work built from over 350 hand-composed layers of textile animation, generating shifting forms born from an underwater explosion. Reflecting on coastal resilience, militarized seas, and oceanic pollution, fabric becomes both political and sensorial material. The work continuously metamorphoses, engulfing the screen in a digital landscape of warning, survival, and resistance.","Artist: Eirini Linardaki
Music: Adam Maor"
peter burr,INTERSTITAL MAINTENANCE,2026,0:06:12,,Three Channel Video,"INTERSTITIAL MAINTENANCE presents the spaces between events in Burr's ongoing procedural artwork The Maintenance Game: empty corridors, stained surfaces, equipment left running, rooms prepared for no one. The building accumulates residue from every cycle of foam hardening on walls, lights left on, wet floors drying in the shape of routes no one remembers taking. 

Work-in-progress footage from the 2026 production.","Artist: Peter Burr
Sound: Chris Parrello
Technical Direction: Oren Shoham"
Adam Cole,Multi-Head Attention,2026,0:03:15,,Three Channel Video,Eight kiss scenes crystallize into focus within a strip of latent noise only to dissolve back into abstraction. Multi-Head Attention is an experimental film built not from an AI model's outputs but from visualizing its internal calculations during generation — where the diffusion process itself mirrors the formation and dissolution of intimacy.,Artist: Adam Cole 
Yaloo,Project Shininho,2026,0:05:18,,Three Channel Video,"<Shininho Landing> is part of 'Project Shininho', a long-term world-building project centered on the digital twin of the artist’s grandmother reimagined as a data pirate, exploring memory, aging, mythology, and technology through speculative animation and immersive installation. The video was originally produced for an 8-panel LED screen on an octagonal corten steel sculpture.","Artist: Yaloo
Animation: Yaloo
Meta human: Jonghoon Ahn
Motion capture actor: Euseon Song
Hieroglyph design: Handi Kim
Motion graphic help: AA Cheng
Source text: Jidon Jung
Sound: Yetsuby
Structure design: Almond Technology
Support: Seo-Seoul Museum of Art"
Winslow Porter + Elie Zananiri,Forager: Spore to Forest Floor,2024,0:04:08,,Three Channel Video,"Witness the full lifecycle of a Pink Oyster mushroom, from airborne spore to fruiting body to decay and back again, in the first-ever photogrammetry time-lapse of its kind. Using cutting-edge 3D scanning technology, the Forager team captures mushrooms growing over time and plays them back as hyperrealist animations in Unreal Engine.",Forager: by Winslow Porter and Elie Zananiri
Ambrose Trataris,Electric Apostles,2025,0:05:40,,Three Channel Video,"Electric Apostles is a video frieze depicting performers, DJs, dancers, and clubgoers in their embodied virtual-reality avatars, coming to life for a series of movements before returning to a state of rest. Set against an ancient landscape with alternative electronica, the work immerses viewers in a living monument of queer and transgender aesthetics built in the often unseen spaces of virtual reality.","Created by: Ambrose Trataris
Performances by CA based Drag Kings: VERA!, Skirt C., Mudd the Two Spirit, Jota Mercury, Cy Berspace 
Performances by VRChat cultural bearers: Skoot (Ministry Promotions), Ru (Kaledisky Club), Tizzy (Transgender Academy), Dust Bunny (VRChat Dance Academy)
3D scans of NY based Drag Kings: Sweaty Eddie, Tuna Melt
Music by: Dollii"
Xin Ying + Alan Winslow + Mimi Yin with NUUM Collective,Unraveling Technique,2025,0:06:18,,Three Channel Video,A series of slowly evolving choreographies of pure dance technique. Unravel captures some of the foundational progressions of Graham technique at 240 fps and feeds them through an algorithm created in Touch Designer to provoke a physical response to the compositional forms. ,"Created by: Xin Ying, Alan Winslow and Mimi Yin with NUUM Collective"
